Distrito_ID,Nombre,Canton_ID
10101,Carmen,101
10102,Merced,101
10103,Hospital,101
10104,Catedral,101
10105,Zapote,101
10106,San Francisco de Dos Rios,101
10107,Uruca,101
10108,Mata Redonda,101
10109,Pavas,101
10110,Hatillo,101
10111,San Sebastian,101
10201,Escazu,102
10202,San Antonio,102
10203,San Rafael,102
10301,Desamparados,103
10302,San Miguel,103
10303,San Juan de Dios,103
10304,San Rafael Arriba,103
10305,San Antonio,103
10306,Frailes,103
10307,Patarra,103
10308,San Cristobal,103
10309,Rosario,103
10310,Damas,103
10311,San Rafael Abajo,103
10312,Gravilias,103
10313,Los Guido,103
10401,Santiago,104
10402,Mercedes Sur,104
10403,Barbacoas,104
10404,Grifo Alto,104
10405,San Rafael,104
10406,Candelarita,104
10407,Desamparaditos,104
10408,San Antonio,104
10409,Chires,104
10501,San Marcos,105
10502,San Lorenzo,105
10503,San Carlos,105
10601,Aserri,106
10602,Tarbaca,106
10603,Vuelta de Jorco,106
10604,San Gabriel,106
10605,Legua,106
10606,Monterrey,106
10607,Salitrillos,106
10701,Colon,107
10702,Guayabo,107
10703,Tabarcia,107
10704,Piedras Negras,107
10705,Picagres,107
10706,Jaris,107
10707,Quitirris­,107
10801,Guadalupe,108
10802,San Francisco,108
10803,Calle Blancos,108
10804,Mata de Platano,108
10805,Ipis,108
10806,Rancho Redondo,108
10807,Purral,108
10901,Santa Ana,109
10902,Salitral,109
10903,Pozos,109
10904,Uruca,109
10905,Piedades,109
10906,Brasil,109
11001,Alajuelita,110
11002,San Josecito,110
11003,San Antonio,110
11004,Concepcion,110
11005,San Felipe,110
11101,San Isidro,111
11102,San Rafael,111
11103,Dulce Nombre de Jesus,111
11104,Patalillo,111
11105,Cascajal,111
11201,San Ignacio,112
11202,Guaitil,112
11203,Palmichal,112
11204,Cangrejal,112
11205,Sabanillas,112
11301,San Juan,113
11302,Cinco Esquinas,113
11303,Anselmo Llorente,113
11304,Leon XIII,113
11305,Colima,113
11401,San Vicente,114
11402,San Jeronimo,114
11403,La Trinidad,114
11501,San Pedro,115
11502,Sabanilla,115
11503,Mercedes,115
11504,San Rafael,115
11601,San Pablo,116
11602,San Pedro,116
11603,San Juan de Mata,116
11604,San Luis,116
11605,Carara,116
11701,Santa Maria,117
11702,Jardin,117
11703,Copey,117
11801,Curridabat,118
11802,Granadilla,118
11803,Sanchez,118
11804,Tirrases,118
11901,San Isidro de El General,119
11902,El General,119
11903,Daniel Flores,119
11904,Rivas,119
11905,San Pedro,119
11906,Platanares,119
11907,Pejibaye,119
11908,Cajon,119
11909,Baru,119
11910,Rio Nuevo,119
11911,Paramo,119
11912,La  Amistad,119
12001,San Pablo,120
12002,San Andres,120
12003,Llano Bonito,120
12004,San Isidro,120
12005,Santa Cruz,120
12006,San Antonio,120
20101,Alajuela,201
20102,San Jose,201
20103,Carrizal,201
20104,San Antonio,201
20105,Guacima,201
20106,San Isidro,201
20107,Sabanilla,201
20108,San Rafael,201
20109,Rio Segundo,201
20110,Desamparados,201
20111,Turrucares,201
20112,Tambor,201
20113,Garita,201
20114,Sarapiqui,201
20201,San Ramon,202
20202,Santiago,202
20203,San Juan,202
20204,Piedades Norte,202
20205,Piedades Sur,202
20206,San Rafael,202
20207,San Isidro,202
20208,Angeles,202
20209,Alfaro,202
20210,Volio,202
20211,Concepcion,202
20212,Zapotal,202
20213,Penas Blancas,202
20214,San Lorenzo,202
20301,Grecia,203
20302,San Isidro,203
20303,San Jose,203
20304,San Roque,203
20305,Tacares,203
20307,Puente de Piedra,203
20308,Bolivar,203
20401,San Mateo,204
20402,Desmonte,204
20403,Jesus Maria,204
20404,Labrador,204
20501,Atenas,205
20502,Jesus,205
20503,Mercedes,205
20504,San Isidro,205
20505,Concepcion,205
20506,San Jose,205
20507,Santa Eulalia,205
20508,Escobal,205
20601,Naranjo,206
20602,San Miguel,206
20603,San Jose,206
20604,Cirri Sur,206
20605,San Jeronimo,206
20606,San Juan,206
20607,El Rosario,206
20608,Palmitos,206
20701,Palmares,207
20702,Zaragoza,207
20703,Buenos Aires,207
20704,Santiago,207
20705,Candelaria,207
20706,Esquipulas,207
20707,La Granja,207
20801,San Pedro,208
20802,San Juan,208
20803,San Rafael,208
20804,Carrillos,208
20805,Sabana Redonda,208
20901,Orotina,209
20902,El Mastate,209
20903,Hacienda Vieja,209
20904,Coyolar,209
20905,La Ceiba,209
21001,Quesada,210
21002,Florencia,210
21003,Buenavista,210
21004,Aguas Zarcas,210
21005,Venecia,210
21006,Pital,210
21007,La Fortuna,210
21008,La Tigra,210
21009,La Palmera,210
21010,Venado,210
21011,Cutris,210
21012,Monterrey,210
21013,Pocosol,210
21101,Zarcero,211
21102,Laguna,211
21103,Tapesco,211
21104,Guadalupe,211
21105,Palmira,211
21106,Zapote,211
21107,Brisas,211
21201,Sarchi Norte,212
21202,Sarchi Sur,212
21203,Toro Amarillo,212
21204,San Pedro,212
21205,Rodriguez,212
